 round               startStatus                            endStatus
000.png 0000001000000000010100000000001000000 0010000000000100000000010000000000100
001.png 0010000000000100000000010000000000100 0000000000001000001000000010000100000
002.png 0000000000001000001000000010000100000 0000000100000000100010000000010000000
003.png 0000000100000000100010000000010000000 0010000000000000010100000000000000100
004.png 0000010100011000001000000000000000000 0000010100000000011100000000000000000
005.png 0000010100000000011100000000000000000 0000000000000000001000010010000000110
006.png 0000000000000000001000010010000000110 0000000000011000011100000000000000000
007.png 0000000000011000011100000000000000000 0000001000000000010100100001000000000
008.png 0000001000000000010100100001000000000 1111001000000000000000000000000000000
009.png 0000010100000000100010000000010100000 0000100010000000001000010010001000000
010.png 0000100010000000001000010010001000000 0000000000011000001000001000011000000
011.png 0000000000011000001000001000011000000 0000001000100100000000010010001000000
012.png 0000001000100100000000010010001000000 0000000000001000111110000000000000000
013.png 0000000000001000111110000000000000000 0000001000000100010100000010001000000
014.png 0000001000000100010100000010001000000 0000000000011000001100001100000000000
015.png 0000000000000001111111000000000000000 0000100000010101000000001010100000000
016.png 0000100000010101000000001010100000000 0101011100101000000000000000000000000
017.png 0101011100101000000000000000000000000 0000011000100000000010000010000100010
018.png 0000011000100000000010000010000100010 0000000000000000111000000100011000010
019.png 0000000000000000111000000100011000010 1000100001110000011000000000000000000
020.png 1000100001110000011000000000000000000 0100110000000000001000000000000110010
021.png 0100110000000000001000000000000110010 1000100001000001000000100000100001000
022.png 1000100001000001000000100000100001000 0000000000111000001000001000001000010
023.png 0000000000111000001000001000001000010 0000001000001000011100000100001000000
024.png 0000001000011000010100001100001000000 0000001000010000110110000100001000000
025.png 0000001000010000110110000100001000000 0000001000001000110110001000001000000
026.png 0000001000001000110110001000001000000 0000000000110000101000100111000000000
027.png 0000000000110000101000100111000000000 0000000001000000101100011010000010000
028.png 0000000001000000101100011010000010000 0000010000000000101000100100010001100
029.png 0000010000000000101000100100010001100 0000000000111000011000011100000000000
030.png 0000000000111000011000011100000000000 1100000001000001100000100000000001100
031.png 1100000001000001100000100000000001100 1010111110000100000000000000000000000
032.png 0000001000000000010100111111000000000 0000001000011000010100011110000000000
033.png 0000001000011000010100011110000000000 0000010100011000001000001100010100000
034.png 0000010100011000001000001100010100000 0000110000010000001110001000110000000
035.png 0000110000010000001110001000110000000 0000010000011000110100001100010000000
036.png 0000010000011000110100001100010000000 0000000000110000101000100100111000000
037.png 0000000000110000101000100100111000000 0000000000111000100100100100110000000
038.png 0000000000111000100100100100110000000 0000000000111000011100011100000000000
039.png 0000000000111000011100011100000000000 0100010000010000001000100100111000000
040.png 0100010000010000001000100100111000000 0100011000010000001000000100001100010
041.png 1000000000011000011101001100000001000 0100000000101100011000000101101000000
042.png 0100000000101100011000000101101000000 1000010000010000001111001000010001000
043.png 1000010000010000001111001000010001000 0000001001000011010101100001001000000
044.png 0000001001000011010101100001001000000 0000000001110001010101000111000000000
045.png 0000000001110001010101000111000000000 0000000100101100111000000100001100000
046.png 0000000100101100111000000100001100000 0000011100100000010100000010011100000
047.png 0000011100100000010100000010011100000 0000001000011000011100010010010100000
048.png 0000001000011000011100010010010100000 0000001000001000111111000100001000000
049.png 0000001000001000111111000100001000000 0000010100011000010100001100010100000
050.png 0000010100011000010100001100010100000 0010001000001000110110001000001000100
051.png 0100100100001000101010001000010010010 0000001100010100011100010100011000000
052.png 0000001100010100011100010100011000000 0000000100011100111000010110001000000
053.png 0000000100011100111000010110001000000 0000000000011100010100011110001100000
054.png 0000000000011100010100011110001100000 0000001100010100010010000100011100010
055.png 0000001100010100010010000100011100010 0000100101000100100100010100011000100
056.png 0000100101000100100100010100011000100 0000011000010000011000011100011000100
057.png 0000011000010000011000011100011000100 0100011000111110011000001000000000000
058.png 0100011000111110011000001000000000000 0000011100000100011100010000011100000
059.png 0000011100000100011100010000011100000 0000010100011000010100010010101010000
060.png 0000010100011000010100010010101010000 0000100011000011111111000000000000000
061.png 0000100011000011111111000000000000000 0010001010001100111000000100010100000
062.png 0110001000011000010100001100001000110 0110001100001100000000011000011000110
063.png 0110001100001100000000011000011000110 0010000110010100010000011100010100100
064.png 0010000110010100010000011100010100100 0001001010000100011100010100010100010
065.png 0001001010000100011100010100010100010 0000010100100100010100011110001000010
066.png 0000010100100100010100011110001000010 0000011010100110000000001100011100100
067.png 0000011010100110000000001100011100100 0000001110001110100000011000011100000
068.png 0000001110001110100000011000011100000 0000001100000110111110010101000000000
069.png 0000001100000110111110010101000000000 0000000101000010110111000110000110000
070.png 0000000101000010110111000110000110000 0000000000010110011111000010001110000
071.png 0000000000010110011111000010001110000 0000000000001110010001001101011110000
072.png 0000000000001110010001001101011110000 0000000000001110000111000111001110000
073.png 0000111110111100011100000000001000000 0000010100100100111110010010010100000
074.png 0000010100100100111110010010010100000 0000011110011100111100010100000000000
075.png 0000011110011100111100010100000000000 0000001011111100111110000100000000000
076.png 0000001011111100111110000100000000000 0101010100111000011100001100001000000
